epoch,lr,train_loss,val_paw_wer,val_paw_cer,val_raw_cer_concat,val_exact_match,secs
1,0.00019545454545454548,38.85081082040613,100.0,100.0,100.0,0.0,18.30130100250244
2,0.00039545454545454546,3.6747348200191152,100.0,100.0,100.0,0.0,18.23573327064514
3,0.0005954545454545455,3.2928813208233225,95.80983078162772,94.80626545754328,92.40201005025126,0.0,18.196805000305176
4,0.0007954545454545455,2.9606238061731514,95.80983078162772,94.80626545754328,92.40201005025126,0.0,19.31133532524109
5,0.0009954545454545455,2.759369736368006,95.80983078162772,94.80626545754328,92.40201005025126,0.0,17.07282042503357
6,0.0009997389123665406,2.499638319015503,72.15954875100725,76.02363286617202,78.13065326633166,0.0,17.181411027908325
7,0.0009989315087865626,2.33608524907719,66.55922643029815,71.51690024732069,75.35678391959799,0.0,18.15450429916382
8,0.000997578530926965,2.263076516714963,69.62127316680096,74.2099477878538,76.84422110552764,0.0,22.766193628311157
9,0.000995681458249173,2.2142237695780667,62.57050765511684,65.92470458917285,72.78391959798995,0.0,25.056640625
10,0.0009932423651743075,2.1633022129535675,60.31426269137792,61.55537235504259,68.04020100502512,0.0,24.49460244178772
11,0.0009902639188148353,2.1240107742222873,60.83803384367446,62.22863424017587,67.07537688442211,0.0,24.627492904663086
12,0.0009867493760581214,2.113917505199259,60.59629331184529,64.49574058807364,71.55778894472361,0.0,24.900532245635986
13,0.0009827025800050702,2.049463101408698,66.1563255439162,70.21159659247046,73.84924623115577,0.0,17.93612575531006
14,0.0009781279557677515,2.0376364399086344,60.43513295729251,64.52322066501786,69.54773869346734,0.0,17.87628412246704
15,0.0009730305056306044,1.9988958835601807,55.15713134568896,57.378400659521844,65.66834170854271,0.0,18.071073293685913
16,0.0009674158035805143,1.9973555153066462,64.4238517324738,67.36740862874416,70.95477386934674,0.0,17.673789262771606
17,0.0009612899892117385,1.9815542074767025,58.0177276390008,61.33553173948887,67.2964824120603,0.0,17.863099575042725
18,0.0009546597610123511,1.9804624996402047,58.340048348106365,61.720252816707884,67.4572864321608,0.0,17.608731508255005
19,0.0009475323690395439,1.9358790598132394,59.18614020950846,60.758450123660346,67.27638190954774,0.0,17.453550577163696
20,0.0009399156069917961,1.923871254379099,58.742949234488314,61.486672162682055,66.71356783919597,0.0,18.028125286102295
21,0.0009318178036865785,1.9579440436579965,62.65108783239323,65.95218466611706,70.17085427135679,0.0,17.825538635253906
22,0.0009232478139529148,1.9012746946378187,58.17888799355359,61.2118713932399,67.03517587939699,0.0,17.02735209465027
23,0.0009142150089487553,1.8981010290709408,58.0177276390008,60.538609508106624,66.35175879396985,0.0,16.246540784835815
24,0.0009047292659137541,1.871856228871779,57.89685737308622,58.257763121736744,65.52763819095478,0.0,16.490261554718018
25,0.0008948009573686511,1.8504599793390795,55.39887187751813,55.8807364660621,62.63316582914573,0.0,16.60207509994507
26,0.0008844409397730748,1.8693798374045978,57.97743755036261,61.10195108546304,66.67336683417085,0.0,16.595454692840576
27,0.0008736605416541617,1.8487668877298182,56.24496373892023,59.10964550700742,65.30653266331659,0.0,16.471619606018066
28,0.0008624715512189784,1.8536516157063572,59.91136180499597,63.74003847210772,68.38190954773869,0.0,16.711156845092773
29,0.0008508862034642908,1.8080732307650826,56.325543916196615,57.61198131354768,64.5427135678392,0.0,16.376084566116333
30,0.0008389171667977745,1.7804967381737449,57.57453666398066,59.604286892003294,65.76884422110552,0.0,16.231242895126343
